species name_sci
"高山兀鹫" "Gyps himalayensis"
"旱獭" "Marmota bobak"
"高原兔" "Lepus oiostolus"
"鼠兔" "Ochotonidae"
"白尾海雕" "Haliaeetus albicilla"
"大鵟" "Buteo hemilasius"
"藏原羚" "Procapra picticaudata"
"赤麻鸭" "Tadorna ferruginea"
"藏野驴" "Equus kiang"
"黑颈鹤" "Grus nigricollis"
"渔鸥" "Ichthyaetus ichthyaetus"
"棕头鸥" "Larus brunnicephalus"
"小黄尾鸲" "Phoenicurus auroreus"
"沙狐" "Vulpes corsac"
"猎隼" "Falco cherrug"
"白鹭" "Egretta garzetta"
"牛背鹭" "Bubulcus ibis"
"斑头雁" "Anser indicus"
"金雕" "Aquila chrysaetos"
"白唇鹿" "Gervus albirostris"
"小鸮" "Heteroglaux blewitti"
"渡鸦" "Corvus corax"
"普通燕鸥" "Sterna hirundo"
"狼" "Canis lupus"
"寒鸦" "Corvus monedula"
"陆鸭" "Duck"
"藏狐" "Vulpes ferrilata"
"藏羚羊" "Pantholops hodgsonii"
"野牦牛" "Bos grunniens"
"牛" "Bovini"     
"羊" "Caprinae"
