name;species;count;dist;side;lon;lat;elev;time_ori;date;time;memo;pic
Li001;高山兀鹫;20;;;99,90459595;35,56184402;2993,91;2014-06-28T02:33:35Z;6/28/14;10:33:35;;1
51;旱獭;3;NA;;99,651465;35,821605;3759;2014-06-29T00:29:01Z;6/29/14;8:29:01;;
54;高原兔;2;NA;;99,530589;35,603693;4041;2014-06-29T00:57:40Z;6/29/14;8:57:40;;
55;高原兔;2;NA;;99,459498;35,407621;3970;2014-06-29T01:29:18Z;6/29/14;9:29:18;;
59;鼠兔;2;NA;;98,974383;35,246865;4229;2014-06-29T02:53:03Z;6/29/14;10:53:03;;
61;白尾海雕;;NA;;98,791041;35,098549;4314;2014-06-29T03:19:00Z;6/29/14;11:19:00;;
62;大鵟;1;NA;;98,692954;35,062238;4497;2014-06-29T03:28:50Z;6/29/14;11:28:50;;
Li002;藏原羚;3;80;;98,45431883;34,86232437;4238,84;2014-06-29T04:04:17Z;6/29/14;12:04:17;;1
64;赤麻鸭;3;NA;;98,380023;34,830574;4235;2014-06-29T04:17:59Z;6/29/14;12:17:59;小型湿地;
65;藏野驴;13;122;;98,371357;34,828195;4224;2014-06-29T04:21:06Z;6/29/14;12:21:06;;
66;黑颈鹤;1;177;;98,284741;34,856807;4230;2014-06-29T04:31:41Z;6/29/14;12:31:41;;
70;赤麻鸭;;NA;;98,152495;34,874985;4237;2014-06-29T06:13:23Z;6/29/14;14:13:23;;
70;渔鸥;;NA;;98,152495;34,874985;4237;2014-06-29T06:13:23Z;6/29/14;14:13:23;;
70;棕头鸥;;NA;;98,152495;34,874985;4237;2014-06-29T06:13:23Z;6/29/14;14:13:23;;
Li005;藏野驴;1;900;;98,08281707;34,69975302;4260,93;2014-06-29T06:33:15Z;6/29/14;14:33:15;;1
Li006;藏原羚;3;300;;98,08103806;34,69017486;4312,34;2014-06-29T06:34:34Z;6/29/14;14:34:34;;1
76;小黄尾鸲;;NA;;98,078285;34,68408;4320;2014-06-29T06:37:02Z;6/29/14;14:37:02;;
Li007;藏野驴;1;116;R;97,9502945;34,37637276;4445,96;2014-06-29T07:27:03Z;6/29/14;15:27:03;;
Li008;藏野驴;1;2000;R;97,93708371;34,37155581;4480,41;2014-06-29T07:29:10Z;6/29/14;15:29:10;;
82;藏野驴;2;1000;L;97,925548;34,326409;4511;2014-06-29T07:37:14Z;6/29/14;15:37:14;;
Li010;藏野驴;11;1000;L;97,88210541;34,27494485;4635,3;2014-06-29T07:48:19Z;6/29/14;15:48:19;;
Li011;黑颈鹤;2;200;L;97,70973518;34,15784622;4652,03;2014-06-29T08:40:54Z;6/29/14;16:40:54;;
Li012;沙狐;1;0;;97,24693005;33,88313817;4491,71;2014-06-29T09:51:05Z;6/29/14;17:51:05;过路;
Li013;高山兀鹫;9;800;R;96,6162933;33,1854485;4223,04;2014-06-30T03:55:58Z;6/30/14;11:55:58;;
Li014;黑颈鹤;1;400;L;96,54444093;33,20819013;4214,01;2014-06-30T04:32:38Z;6/30/14;12:32:38;;
Li015;沙狐;1;0;;96,25695719;33,33526704;4666,22;2014-06-30T06:17:22Z;6/30/14;14:17:22;;
Li016;猎隼;1;50;R;96,20313649;33,38746997;4546,74;2014-06-30T06:48:47Z;6/30/14;14:48:47;;
109;大鵟;;NA;L;96,759097;33,105935;4172;2014-06-30T07:35:06Z;6/30/14;15:35:06;;1
110;大鵟;3;NA;R;96,756742;33,106559;4180;2014-06-30T07:36:26Z;6/30/14;15:36:26;有鸟巢;
111;高山兀鹫;2;NA;;96,727327;33,12596;4297;2014-06-30T07:44:49Z;6/30/14;15:44:49;;
112;沙狐;1;30;L;96,654816;33,137639;4281;2014-06-30T08:09:59Z;6/30/14;16:09:59;附近有村落，杀狐不怕人，进洞休息;
113;旱獭;1;150;L;96,593035;33,194554;4239;2014-06-30T08:43:59Z;6/30/14;16:43:59;;
115;白鹭;36;150;L;96,569947;33,201923;4229;2014-06-30T08:49:22Z;6/30/14;16:49:22;;
115;大鵟;4;200;L;96,569947;33,201923;4229;2014-06-30T08:49:22Z;6/30/14;16:49:22;;
115;牛背鹭;12;NA;L;96,569947;33,201923;4229;2014-06-30T08:49:22Z;6/30/14;16:49:22;;
116;黑颈鹤;2;1200;L;96,557698;33,203882;4238;2014-06-30T08:56:53Z;6/30/14;16:56:53;;
118;斑头雁;10;1000;;96,51974;33,208586;4229;2014-06-30T09:06:36Z;6/30/14;17:06:36;;
118;旱獭;1;100;;96,51974;33,208586;4229;2014-06-30T09:06:36Z;6/30/14;17:06:36;;
118;黑颈鹤;2;1000;;96,51974;33,208586;4229;2014-06-30T09:06:36Z;6/30/14;17:06:36;;
119;黑颈鹤;3;1500;;96,503291;33,213454;4222;2014-06-30T09:12:28Z;6/30/14;17:12:28;;
121;旱獭;1;10;;96,408727;33,261274;4199;2014-06-30T09:39:26Z;6/30/14;17:39:26;;
122;沙狐;1;100;;96,304425;33,304917;4388;2014-06-30T10:00:49Z;6/30/14;18:00:49;;
123;鼠兔;10;0;L;96,278181;33,318619;4507;2014-06-30T10:09:13Z;6/30/14;18:09:13;鼠兔密集分布路段;
124;旱獭;2;150;L;96,263139;33,330268;4617;2014-06-30T10:14:33Z;6/30/14;18:14:33;;
124;沙狐;1;100;L;96,263139;33,330268;4617;2014-06-30T10:14:33Z;6/30/14;18:14:33;旱獭追狐狸;
125;金雕;1;NA;R;96,204195;33,385458;4559;2014-06-30T10:40:48Z;6/30/14;18:40:48;;
126;沙狐;1;300;;96,138537;33,437816;4459;2014-06-30T11:04:53Z;6/30/14;19:04:53;;
127;旱獭;2;300;;96,135656;33,441882;4447;2014-06-30T11:05:58Z;6/30/14;19:05:58;;
128;旱獭;1;150;;96,115643;33,462676;4411;2014-06-30T11:11:59Z;6/30/14;19:11:59;;
129;旱獭;3;100;;96,079653;33,518396;4376;2014-06-30T11:27:50Z;6/30/14;19:27:50;;
130;金雕;3;100;;96,077773;33,521281;4368;2014-06-30T11:28:26Z;6/30/14;19:28:26;;
132;金雕;1;20;;96,059021;33,54576;4329;2014-06-30T11:35:08Z;6/30/14;19:35:08;;
133;旱獭;1;100;;96,053143;33,553215;4325;2014-06-30T11:36:54Z;6/30/14;19:36:54;;
133;金雕;1;20;;96,053143;33,553215;4325;2014-06-30T11:36:54Z;6/30/14;19:36:54;;
134;金雕;1;20;;96,046851;33,557285;4328;2014-06-30T11:39:40Z;6/30/14;19:39:40;;
135;白唇鹿;5;10;L;96,012436;33,584694;4255;2014-06-30T11:53:03Z;6/30/14;19:53:03;;
135;白唇鹿;1;100;R;96,012436;33,584694;4255;2014-06-30T11:53:03Z;6/30/14;19:53:03;;
136;旱獭;1;10;;95,960658;33,620356;4219;2014-06-30T12:07:16Z;6/30/14;20:07:16;;
137;旱獭;2;200;R;95,936871;33,632749;4208;2014-06-30T12:12:36Z;6/30/14;20:12:36;;
138;旱獭;2;150;L;95,93146;33,6332;4198;2014-06-30T12:13:33Z;6/30/14;20:13:33;;
139;旱獭;1;100;;95,927606;33,634499;4195;2014-06-30T12:14:17Z;6/30/14;20:14:17;;
140;沙狐;1;150;;95,89239;33,647221;4189;2014-06-30T12:21:42Z;6/30/14;20:21:42;;
141;高原兔;1;100;;95,877234;33,691071;4147;2014-06-30T12:34:04Z;6/30/14;20:34:04;;
142;金雕;1;0;;95,875183;33,717407;4192;2014-06-30T12:40:18Z;6/30/14;20:40:18;;
143;沙狐;1;200;;95,855085;33,737725;4270;2014-06-30T12:46:33Z;6/30/14;20:46:33;;
144;金雕;2;100;;95,797939;33,771227;4356;2014-06-30T12:58:31Z;6/30/14;20:58:31;;
145;沙狐;3;0;;95,777119;33,781727;4329;2014-06-30T13:02:01Z;6/30/14;21:02:01;;
146;猎隼;1;0;L ;95,767467;33,78874;4311;2014-06-30T13:03:57Z;6/30/14;21:03:57;;
147;金雕;1;20;;95,754509;33,798849;4292;2014-06-30T13:06:34Z;6/30/14;21:06:34;;
148;金雕;1;10000;;95,739069;33,806825;4274;2014-06-30T13:09:15Z;6/30/14;21:09:15;;
148;猎隼;2;10000;;95,739069;33,806825;4274;2014-06-30T13:09:15Z;6/30/14;21:09:15;;
152;金雕;1;20;L;95,493184;33,819352;4250;2014-07-01T03:36:07Z;7/1/14;11:36:07;;
154;金雕;0;5;R;95,406082;33,842674;4385;2014-07-01T04:03:48Z;7/1/14;12:03:48;巢穴;
155;金雕;0;5;R;95,402001;33,849697;4414;2014-07-01T04:05:20Z;7/1/14;12:05:20;巢穴;
156;大鵟;1;10;;95,399981;33,85245;4422;2014-07-01T04:05:58Z;7/1/14;12:05:58;;1
157;大鵟;0;5;;95,391326;33,858804;4450;2014-07-01T04:09:37Z;7/1/14;12:09:37;巢穴;1
159;猎隼;1;30;R;95,369151;33,873738;4522;2014-07-01T04:14:34Z;7/1/14;12:14:34;;
Li017;白唇鹿;4;0;;95,3404075;33,90508573;4512,51;2014-07-01T04:31:44Z;7/1/14;12:31:44;;1
161;金雕;1;260;R;95,308466;33,940135;4516;2014-07-01T04:43:27Z;7/1/14;12:43:27;;
161;大鵟;1;NA;;95,308466;33,940135;4516;2014-07-01T04:43:27Z;7/1/14;12:43:27;路线上空;
Li018;藏原羚;2;260;R;95,3072306;33,941874;4517,19;2014-07-01T05:29:23Z;7/1/14;13:29:23;;
162;大鵟;1;10;;95,289916;33,965794;4552;2014-07-01T05:40:18Z;7/1/14;13:40:18;电线杆;
163;猎隼;1;5;;95,288709;33,967594;4558;2014-07-01T05:40:43Z;7/1/14;13:40:43;电线杆;
164;旱獭;1;10;R;95,264682;33,992724;4561;2014-07-01T05:46:28Z;7/1/14;13:46:28;;
165;旱獭;1;10;R;95,249782;34,001527;4563;2014-07-01T05:48:31Z;7/1/14;13:48:31;;
166;旱獭;1;10;L;95,244602;34,006243;4569;2014-07-01T05:49:25Z;7/1/14;13:49:25;;
167;旱獭;1;10;R;95,235721;34,018353;4580;2014-07-01T05:51:24Z;7/1/14;13:51:24;;
168;旱獭;1;50;R;95,164825;34,086566;4690;2014-07-01T06:04:29Z;7/1/14;14:04:29;;
169;旱獭;1;10;L;95,09992;34,106069;4678;2014-07-01T06:12:55Z;7/1/14;14:12:55;;
170;旱獭;1;50;R;95,008257;34,172262;4605;2014-07-01T06:28:45Z;7/1/14;14:28:45;;
171;沙狐;1;30;L;95,00237;34,175443;4601;2014-07-01T06:29:39Z;7/1/14;14:29:39;;
172;旱獭;3;15;R;94,984559;34,188401;4593;2014-07-01T06:32:34Z;7/1/14;14:32:34;;
173;猎隼;0;30;R;94,971418;34,198308;4588;2014-07-01T06:34:51Z;7/1/14;14:34:51;;
177;金雕;1;10;L;94,928148;34,247389;4565;2014-07-01T06:43:51Z;7/1/14;14:43:51;;
181;旱獭;1;30;R;94,855897;34,23019;4521;2014-07-01T07:17:12Z;7/1/14;15:17:12;;
182;旱獭;1;100;R;94,85119;34,222843;4518;2014-07-01T07:19:56Z;7/1/14;15:19:56;;
183;旱獭;2;40;L;94,854014;34,21414;4523;2014-07-01T07:21:45Z;7/1/14;15:21:45;;
184;旱獭;1;20;L;94,854317;34,209284;4526;2014-07-01T07:23:07Z;7/1/14;15:23:07;;
185;旱獭;1;20;L;94,854567;34,20389;4529;2014-07-01T07:24:13Z;7/1/14;15:24:13;;
186;旱獭;1;15;L;94,854721;34,201907;4530;2014-07-01T07:24:32Z;7/1/14;15:24:32;;
189;旱獭;1;70;L;94,848702;34,185271;4537;2014-07-01T07:28:39Z;7/1/14;15:28:39;;
190;旱獭;1;100;L;94,843962;34,182779;4541;2014-07-01T07:30:11Z;7/1/14;15:30:11;;
