编号  物种名	数量	左右	距离m	备注
51	旱獭	3			
54	高原兔	2			
55	高原兔	2			
59	鼠兔	2			
61	白尾海雕				
62	大鵟	1			
64	赤麻鸭	3			小型湿地
65	藏野驴	13			
66	黑颈鹤	1		177	
70	赤麻鸭				
70	渔鸥				
70	棕头鸥				
76	小黄尾鸲				
82	藏野驴	2	L	1000	
104	沙狐	1			
109	大鵟		L		
110	大鵟	3	R		有鸟巢
111	高山兀鹫	2			
112	沙狐（非成体）	1	L	30	附近有村落，杀狐不怕人，进洞休息
113	旱獭	1	L	150	
115	白鹭	36	L	150	
115	牛背鹭	12	L		
115	大鵟	4	L	200	
116	黑颈鹤	2	L	1200	
118	斑头雁	10		1000	
118	黑颈鹤	2		1000	
118	旱獭	1		100	
119	黑颈鹤	3		1500	
121	旱獭	1		10	
122	沙狐	1		100	
123	鼠兔	很多	L	0	鼠兔密集分布路段
124	旱獭	2	L	150	
124	狐狸	1	L	100	旱獭追狐狸
125	金雕	1	R		
126	狐狸	1		300	
127	旱獭	2		300	
128	旱獭	1		150	
129	旱獭	3		100	
130	金雕	3		100	
132	金雕	1		20	
133	旱獭	1		100	
133	金雕	1		20	
134	金雕	1		20	
135	白唇鹿	5	L	10	
135	白唇鹿	1	R	100	
136	旱獭	1		10	
137	旱獭	2	R	200	
138	旱獭	2	L	150	
139	旱獭	1		100	
140	沙狐	1		150	
141	高原兔	1		100	
142	金雕	1		0	
143	沙狐	1		200	
144	金雕	2		100	
145	沙狐	3		0	
146	猎隼	1	L 	0	
147	金雕	1		20	
148	猎隼	2		10000	
148	金雕	1		10000	
152	金雕	1	L	20	
154	金雕	0	R	5	巢穴
155	金雕	0	R	5	巢穴
156	大鵟	1		10	
157	大鵟	0		5	巢穴
159	猎隼	1	R	30	
160	白唇鹿	4	公路上	0	
161	藏原羚	2	R	260	
161	大鵟	1	路线上空		
161	金雕	1	R	260	
162	大鵟	1		10	电线杆
163	猎隼	1		5	电线杆
164	旱獭	1	R	10	
165	旱獭	1	R	10	
166	旱獭	1	L	10	
167	旱獭	1	R	10	
168	旱獭	1	R	50	
169	旱獭	1	L	10	
170	旱獭	1	R	50	
171	沙狐	1	L	30	
172	旱獭	3	R	15	
173	猎隼	0	R	30	
174	巢穴	1	L	40	
177	金雕	1	L	10	
181	旱獭	1	R	30	
182	旱獭	1	R	100	
183	旱獭	2	L	40	
184	旱獭	1	L	20	
185	旱獭	1	L	20	
186	旱獭	1	L	15	
189	旱獭	1	L	70	
190	旱獭	1	L	100	
191	猎隼	1	L	30	
192	猎隼	1	R	15	
193	猎隼	1	R	15	
194	猎隼	1	L	10	
195	旱獭			149	
196	大鵟	2		0	
197	大鵟	1			
198	旱獭	1	L	20	
199	旱獭	1	R	15	
200	藏原羚	3	L	240	
201	大鵟	1	L	200	
202	藏原羚	2	L	300	
203	藏原羚	1	R	200	
204	旱獭	1	R	100	
206	渡鸦	4	马路上	0	
207	赤麻鸭	5		30	
208	斑头雁	1	马路上	0	
209	普通燕鸥	3		0	
210	斑头雁	13			
211	旱獭	2	R	15	
212	旱獭	2	R	20	
213	旱獭	1	R	5	
214	旱獭	5	R	30	
215	高原兔	1	R	10	
216	高原兔	2	R	6	
217	旱獭	1	R	1	
218	狼	1	L	400	
219	大鵟	2	L	50	
221	藏原羚	2	L	1000	
222	藏原羚	1	R	500	
223	旱獭	1	R	100	
224	旱獭	1	R	20	
225	旱獭	1	R	30	
226	大鵟	1	L	800	
227	高原兔	1	L	1	
229	赤麻鸭	1	R	40	
230	藏狐	1	R	50	
231	藏原羚	5	L	300	
232	藏野驴	4	L	150	
232	藏野驴	3	R	300	
233	旱獭	1	R	100	
234	旱獭	2	L	100	
235	旱獭	3	R	80	
236	藏野驴	13	过马路		
237	藏野驴	4	L	1000	
237	藏野驴	30	R	1000	
238	旱獭	10	L	100	
238	藏野驴	3	L	100	
238	藏野驴	1	R	50	
239	藏野驴	1	L	200	
240	藏野驴	1	L	200	
240	藏野驴	3	L	100	
241	藏野驴	1	L	1500	
242	藏野驴	1	L	188	
242	藏野驴	29	L	4000	
243	旱獭	1	L	150	
244	藏野驴	1	L	1000	
245	藏野驴	2	L	200	
246	旱獭	1	L	1000	
247	旱獭	1	L	50	
248	藏野驴	1	L	1000	
249	藏野驴	1	R	50	
